data_type,official_page_or_endpoint,bulk_export_available,platform,access,historical_query_controls,documented_retention,available_intervals,schema,PIT_and_lifecycle_limitations,current_Donch_acquisition_status,Stage7C_coverage,likely_incremental_value,recommended_next_action
derivatives_funding_bulk_export,https://support.kraken.com/articles/export-historical-funding-rates,yes,derivatives,public,symbol CSV members in whole export,not stated,hourly,"timestamp;tradeable;absolute_rate;relative_rate",file presence does not prove historical tradability,complete_rankable_2023_2025_partition,not_Stage7C,complete funding cashflow authority,preserve and periodically re-export under separate authorization
derivatives_trade_candles,https://futures.kraken.com/api/charts/v1/trade/{symbol}/{resolution},no published bulk ZIP evidence,derivatives,public,from/to/count and resolution,not promised by documentation,"5m locally; endpoint supports resolution path","time;OHLC;volume",current instrument roster is not PIT lifecycle,acquired_rankable_2023_2025,not_Stage7C,execution and price path,retain existing authority
derivatives_mark_candles,https://futures.kraken.com/api/charts/v1/mark/{symbol}/{resolution},no published bulk ZIP evidence,derivatives,public,from/to/count and resolution,not promised by documentation,"5m locally; endpoint supports resolution path","time;OHLC;volume",mark is distinct from trade/index and roster is not PIT,acquired_rankable_2023_2025,not_Stage7C,valuation and signal reference,retain existing authority
derivatives_spot_reference_candles,https://futures.kraken.com/api/charts/v1/spot/{symbol}/{resolution},no published bulk ZIP evidence,derivatives reference,public,from/to/count and resolution,not promised by documentation,endpoint resolution path,"time;OHLC;volume",reference identity and lifecycle need mapping,metadata_probed_not_campaign_authority,not_Stage7C,basis/reference checks,lower priority than lifecycle authority
analytics_open_interest,https://futures.kraken.com/api/charts/v1/analytics/{symbol}/open-interest,no published bulk ZIP evidence,derivatives,public,from/to/interval query observed,not promised,"1m and 5m acquired","four raw values per timestamp",tuple units inferred and lifecycle capped,acquired_rankable_Stage7C,yes,already supports OI state,no reacquisition
analytics_aggressor_differential,https://futures.kraken.com/api/charts/v1/analytics/{symbol}/aggressor-differential,no published bulk ZIP evidence,derivatives,public,endpoint advertises analytics type,unknown,unknown,undocumented response until probed,retention and side semantics unverified,not_acquired,no,direct signed flow,metadata/schema pilot under new authorization
analytics_trade_volume,https://futures.kraken.com/api/charts/v1/analytics/{symbol}/trade-volume,no published bulk ZIP evidence,derivatives,public,endpoint advertises analytics type,unknown,unknown,undocumented response until probed,unit and retention unverified,not_acquired,no,volume decomposition,reconcile with existing candle volume first
analytics_trade_count,https://futures.kraken.com/api/charts/v1/analytics/{symbol}/trade-count,no published bulk ZIP evidence,derivatives,public,endpoint advertises analytics type,unknown,unknown,undocumented response until probed,retention unverified,not_acquired,no,activity/liquidity state,schema pilot after aggressor differential
analytics_liquidation_volume,https://futures.kraken.com/api/charts/v1/analytics/{symbol}/liquidation-volume,no published bulk ZIP evidence,derivatives,public,from/to/interval query observed,not promised,"1m and 5m acquired",timestamp plus raw scalar,side and currency units inferred,acquired_rankable_Stage7C,yes,already supports liquidation state,no reacquisition
analytics_rolling_volatility,https://futures.kraken.com/api/charts/v1/analytics/{symbol}/rolling-volatility,no published bulk ZIP evidence,derivatives,public,endpoint advertises analytics type,unknown,unknown,undocumented response until probed,window and annualization unverified,not_acquired,no,venue-native volatility,lower priority because causal local volatility is derivable
analytics_long_short_ratio,https://futures.kraken.com/api/charts/v1/analytics/{symbol}/long-short-ratio,no published bulk ZIP evidence,derivatives,public,endpoint advertises analytics type,unknown,unknown,undocumented response until probed,population and unit unverified,not_acquired,no,crowding direction,schema/retention pilot priority
analytics_long_short_info,https://futures.kraken.com/api/charts/v1/analytics/{symbol}/long-short-info,no published bulk ZIP evidence,derivatives,public,endpoint advertises analytics type,unknown,unknown,undocumented response until probed,population and definition unverified,not_acquired,no,crowding composition,pilot jointly with ratio
analytics_cvd,https://futures.kraken.com/api/charts/v1/analytics/{symbol}/cvd,no published bulk ZIP evidence,derivatives,public,endpoint advertises analytics type,unknown,unknown,undocumented response until probed,aggressor rule and reset unverified,not_acquired,no,signed cumulative flow,pilot after aggressor differential
analytics_top_traders,https://futures.kraken.com/api/charts/v1/analytics/{symbol}/top-traders,no published bulk ZIP evidence,derivatives,public,endpoint advertises analytics type,unknown,unknown,undocumented response until probed,population and privacy aggregation unverified,not_acquired,no,positioning context,low priority until semantics documented
analytics_orderbook,https://futures.kraken.com/api/charts/v1/analytics/{symbol}/orderbook,no published bulk ZIP evidence,derivatives,public,endpoint advertises analytics type,unknown,unknown,undocumented response until probed,depth bands and snapshot timing unverified,not_acquired,no,historical liquidity and execution calibration,high-value retention/schema pilot
analytics_spreads,https://futures.kraken.com/api/charts/v1/analytics/{symbol}/spreads,no published bulk ZIP evidence,derivatives,public,endpoint advertises analytics type,unknown,unknown,undocumented response until probed,quote source and aggregation unverified,not_acquired,no,historical transaction-cost context,high-value retention/schema pilot
analytics_liquidity,https://futures.kraken.com/api/charts/v1/analytics/{symbol}/liquidity,no published bulk ZIP evidence,derivatives,public,endpoint advertises analytics type,unknown,unknown,undocumented response until probed,definition and units unverified,not_acquired,no,capacity and filters,pilot with orderbook/spreads
analytics_slippage,https://futures.kraken.com/api/charts/v1/analytics/{symbol}/slippage,no published bulk ZIP evidence,derivatives,public,endpoint advertises analytics type,unknown,unknown,undocumented response until probed,order size and side assumptions unverified,not_acquired,no,execution costs,pilot with orderbook and preserve size dimensions
analytics_future_basis,https://futures.kraken.com/api/charts/v1/analytics/{symbol}/future-basis,no published bulk ZIP evidence,derivatives,public,from/to/interval query observed,not promised,"1m and 5m acquired",timestamp plus basis fields,unit inferred and basis is not funding,acquired_rankable_Stage7C,yes,already supports basis state,no reacquisition
analytics_funding,https://futures.kraken.com/api/charts/v1/analytics/{symbol}/funding,no published bulk ZIP evidence,derivatives,public,endpoint advertises analytics type,unknown,unknown,undocumented response until probed,not a substitute for absolute-rate export,bulk_export_now_authoritative,no,diagnostic only,use Stage19 export for campaign economics
public_order_event_history,https://futures.kraken.com/derivatives/api/v3/public-order-events,no,derivatives,public,symbol query observed,not documented as full backfill,request response,public order-event records,retention and completeness not established,metadata_probe_only,no,order-flow and fill mechanics,retention/schema pilot priority under new authorization
recent_futures_index_trade_history,https://docs.kraken.com/api/docs/futures-api/history/get-history,no,derivatives,public,symbol query,about seven days or latest engine restart,recent records,futures and index trade history,explicitly not a historical backfill source,metadata_probe_only,no,recent parity/calibration only,do not use for historical backfill
spot_bulk_time_and_sales,https://support.kraken.com/articles/360047543791-downloadable-historical-market-data-time-and-sales-,yes,spot,public,yearly ZIP inventory,article-controlled archive,trade rows,Unix time price and base volume,spot identity is not PF derivatives,acquired_for_C02_reference_panel,no,spot/reference panel,retain; do not relabel PF
spot_bulk_OHLCVT,https://support.kraken.com/articles/360047124832-downloadable-historical-ohlcvt-open-high-low-close-volume-trades-data,yes,spot,public,bulk ZIP by pair/interval,article-controlled archive,OHLCVT intervals,"time;OHLC;volume;trades",spot identity is not PF derivatives,not_acquired_as_separate_bulk_panel,no,lower-cost spot reference bars,lower priority than existing exact time-and-sales
instrument_and_lifecycle_metadata,https://docs.kraken.com/api/docs/futures-api/trading/get-instruments,no historical bulk archive proven,derivatives,public,current snapshot plus official changelog,current endpoint only,current snapshot,instrument type base quote contractSize status openingDate,current snapshot cannot prove historical status continuity,current_snapshot_and_sparse_lifecycle_evidence,no,critical PIT universe and unit authority,highest priority: archive official snapshots/changelog prospectively
